epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6431,1.08837,5.11696,1.37587,0.35518,0.34643,0.12874,0.09094,0.8008,6.89085,1.19125,8.75e-05,8.75e-05,8.75e-05
2,17.2346,0.82286,2.09325,1.15116,0.74887,0.76786,0.71433,0.59478,0.7617,8.26926,1.11909,0.000183787,0.000183787,0.000183787
3,25.0283,0.77348,1.52855,1.20397,0.68989,0.89286,0.69934,0.57287,0.87251,5.36978,1.23652,0.000276115,0.000276115,0.000276115
4,32.1537,0.71403,1.18802,1.12071,0.65683,0.69286,0.6938,0.56314,0.95088,4.13769,1.35429,0.000364482,0.000364482,0.000364482
5,39.4569,0.78384,1.14313,1.19791,0.6104,0.79286,0.70262,0.56106,0.94804,4.99094,1.37807,0.00044889,0.00044889,0.00044889
6,46.2893,0.74095,0.9587,1.11375,0.5137,0.31126,0.36008,0.22707,1.55641,4.86217,1.82513,0.000529338,0.000529338,0.000529338
7,52.0742,0.79796,0.8614,1.18321,0.49204,0.19643,0.10108,0.07358,1.92677,66.6888,2.39278,0.000605825,0.000605825,0.000605825
8,58.9181,0.80238,0.84201,1.21355,0.43064,0.39286,0.19052,0.14667,1.14178,57.0989,1.55176,0.000678352,0.000678352,0.000678352
9,65.7808,0.74264,0.81988,1.13749,0.29054,0.67143,0.45837,0.33469,1.33356,40.6067,1.74768,0.00074692,0.00074692,0.00074692
10,72.8483,0.74567,0.84028,1.18318,0.56931,0.87857,0.63396,0.45661,0.93252,18.4182,1.44821,0.000811528,0.000811528,0.000811528
11,79.7387,0.84627,0.86692,1.24234,0.5232,0.80357,0.56195,0.41886,0.91401,6.90254,1.35594,0.000872175,0.000872175,0.000872175
12,86.0187,0.76072,0.72246,1.15926,0.58111,0.7152,0.74354,0.55626,1.0865,3.08094,1.48557,0.000928863,0.000928863,0.000928863
13,91.7648,0.77448,0.78687,1.18143,0.31881,0.34286,0.17998,0.12305,1.4581,77.0076,2.5892,0.000953,0.000953,0.000953
14,98.627,0.7789,0.77518,1.16367,0.56546,0.67365,0.5618,0.43076,1.23574,8.78382,1.76976,0.00092825,0.00092825,0.00092825
15,105.521,0.77133,0.68571,1.16857,0.52397,0.89286,0.54145,0.41838,0.84806,5.23612,1.4014,0.0009035,0.0009035,0.0009035
16,112.38,0.78565,0.70071,1.1914,0.45417,0.8258,0.59496,0.46671,0.93971,4.75299,1.41373,0.00087875,0.00087875,0.00087875
17,119.107,0.79539,0.77745,1.19861,0.5591,0.72143,0.74873,0.58968,0.98439,3.12396,1.57301,0.000854,0.000854,0.000854
18,124.506,0.77142,0.70718,1.19664,0.65709,0.68613,0.72074,0.59526,0.85864,1.9954,1.28617,0.00082925,0.00082925,0.00082925
19,130.337,0.76468,0.68433,1.14526,0.67659,0.75753,0.72632,0.57741,0.834,2.15003,1.19465,0.0008045,0.0008045,0.0008045
20,135.904,0.72047,0.58863,1.11964,0.4648,0.87751,0.54465,0.41168,0.81443,3.02411,1.19024,0.00077975,0.00077975,0.00077975
21,143.678,0.72899,0.66789,1.1421,0.77119,0.69,0.71062,0.50254,0.90636,1.62257,1.27366,0.000755,0.000755,0.000755
22,151.806,0.75014,0.61414,1.12976,0.75747,0.59258,0.73948,0.5875,0.85049,1.70648,1.18149,0.00073025,0.00073025,0.00073025
23,158.76,0.73074,0.62259,1.14672,0.64028,0.70696,0.61947,0.47905,0.92073,2.62197,1.30506,0.0007055,0.0007055,0.0007055
24,165.527,0.71218,0.59606,1.09709,0.42895,0.85212,0.45821,0.35627,0.88818,4.99398,1.37245,0.00068075,0.00068075,0.00068075
25,171.239,0.70976,0.55725,1.11102,0.6283,0.77143,0.63338,0.54318,0.86008,2.52192,1.24554,0.000656,0.000656,0.000656
26,176.626,0.658,0.52523,1.09199,0.84962,0.9656,0.94781,0.74035,0.91929,1.00997,1.27104,0.00063125,0.00063125,0.00063125
27,182.189,0.66181,0.529,1.08257,0.77887,0.93669,0.94854,0.78034,0.86448,0.83242,1.23443,0.0006065,0.0006065,0.0006065
28,187.893,0.7156,0.56651,1.10823,0.75285,0.93926,0.83226,0.66423,0.84738,0.96936,1.21459,0.00058175,0.00058175,0.00058175
29,193.37,0.6952,0.52847,1.14687,0.77338,0.95625,0.83896,0.65759,0.84447,1.24302,1.26687,0.000557,0.000557,0.000557
30,198.735,0.62271,0.51414,1.09885,0.82215,0.88984,0.89896,0.72838,0.82139,0.90365,1.1697,0.00053225,0.00053225,0.00053225
31,204.054,0.6697,0.52331,1.14831,0.83053,0.96077,0.89896,0.71934,0.86768,0.80647,1.2356,0.0005075,0.0005075,0.0005075
